PRECINCT_NAME,CONTEST_FULL_NAME,CANDIDATE_FULL_NAME_REP,CANDIDATE_FULL_NAME_DEM,CONTEST_TOTAL,TOTAL_REP,TOTAL_DEM,TOTAL_PCT_REP,TOTAL_PCT_DEM,MARGIN,MARGIN_PCT,WINNER,WINNING_PARTY
0093 CAVE BUTTES,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",3066,1933,1126,0.6304631441617743,0.36725375081539463,807,0.26320939334637966,"REP - SCHWEIKERT, DAVID",REP
0094 CAVE CREEK,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",3015,2141,869,0.7101160862354893,0.28822553897180764,1272,0.42189054726368164,"REP - SCHWEIKERT, DAVID",REP
0095 CELAYA,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",2149,626,1518,0.2912982782689623,0.7063750581665891,892,0.41507677989762676,"DEM - SINEMA, KYRSTEN",DEM
0096 CENTENNIAL,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",1271,596,672,0.4689221085759245,0.5287175452399685,76,0.05979543666404402,"DEM - SINEMA, KYRSTEN",DEM
0097 CENTRAL HIGH,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",1832,405,1412,0.2210698689956332,0.7707423580786026,1007,0.5496724890829694,"DEM - SINEMA, KYRSTEN",DEM
0098 CHALLENGER,US Rep Dst CD 7,"REP - NUNEZ, EVE","DEM - GALLEGO, RUBEN",1237,363,868,0.29345189975747776,0.7016976556184317,505,0.4082457558609539,"DEM - GALLEGO, RUBEN",DEM
0099 CHANDLER HEIGHTS,US Rep Dst CD 5,"REP - BIGGS, ANDY","DEM - FUENTES, TALIA",3587,2326,1258,0.6484527460273208,0.35071090047393366,1068,0.2977418455533872,"REP - BIGGS, ANDY",REP
0100 CHAVEZ,US Rep Dst CD 7,"REP - NUNEZ, EVE","DEM - GALLEGO, RUBEN",719,112,605,0.15577190542420027,0.8414464534075105,493,0.6856745479833102,"DEM - GALLEGO, RUBEN",DEM
0101 CHENEY,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",2514,1893,620,0.752983293556086,0.2466189339697693,1273,0.5063643595863166,"REP - SCHWEIKERT, DAVID",REP
0102 CHILTON,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",1237,483,749,0.3904607922392886,0.6054971705739692,266,0.21503637833468064,"DEM - SINEMA, KYRSTEN",DEM
0103 CHOLLA,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",2158,1039,1108,0.48146431881371643,0.5134383688600556,69,0.03197405004633913,"DEM - WILLIAMSON, W. JOHN",DEM
0104 CHRISTY,US Rep Dst CD 8,"REP - FRANKS, TRENT",NA,1104,688,NA,0.6231884057971014,NA,276,0.25,"REP - FRANKS, TRENT",REP
