PRECINCT_NAME,CONTEST_FULL_NAME,CANDIDATE_FULL_NAME_REP,CANDIDATE_FULL_NAME_DEM,CONTEST_TOTAL,TOTAL_REP,TOTAL_DEM,TOTAL_PCT_REP,TOTAL_PCT_DEM,MARGIN,MARGIN_PCT,WINNER,WINNING_PARTY
0094 CAVE CREEK,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",3015,2141,869,0.710116086,0.288225539,1272,0.421890547,"REP - SCHWEIKERT, DAVID",REP
0095 CELAYA,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",2149,626,1518,0.291298278,0.706375058,892,0.41507678,"DEM - SINEMA, KYRSTEN",DEM
0096 CENTENNIAL,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",1271,596,672,0.468922109,0.528717545,76,0.059795437,"DEM - SINEMA, KYRSTEN",DEM
0097 CENTRAL HIGH,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",1832,405,1412,0.221069869,0.770742358,1007,0.549672489,"DEM - SINEMA, KYRSTEN",DEM
0098 CHALLENGER,US Rep Dst CD 7,"REP - NUNEZ, EVE","DEM - GALLEGO, RUBEN",1237,363,868,0.2934519,0.701697656,505,0.408245756,"DEM - GALLEGO, RUBEN",DEM
0099 CHANDLER HEIGHTS,US Rep Dst CD 5,"REP - BIGGS, ANDY","DEM - FUENTES, TALIA",3587,2326,1258,0.648452746,0.3507109,1068,0.297741846,"REP - BIGGS, ANDY",REP
0100 CHAVEZ,US Rep Dst CD 7,"REP - NUNEZ, EVE","DEM - GALLEGO, RUBEN",719,112,605,0.155771905,0.841446453,493,0.685674548,"DEM - GALLEGO, RUBEN",DEM
0101 CHENEY,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",2514,1893,620,0.752983294,0.246618934,1273,0.50636436,"REP - SCHWEIKERT, DAVID",REP
0102 CHILTON,US Rep Dst CD 9,"REP - GILES, DAVE","DEM - SINEMA, KYRSTEN",1237,483,749,0.390460792,0.605497171,266,0.215036378,"DEM - SINEMA, KYRSTEN",DEM
0103 CHOLLA,US Rep Dst CD 6,"REP - SCHWEIKERT, DAVID","DEM - WILLIAMSON, W. JOHN",2158,1039,1108,0.481464319,0.513438369,69,0.03197405,"DEM - WILLIAMSON, W. JOHN",DEM
